easy,hard,medium,rating,solvedLastWeek
177.0,18.0,121.0,922,6
49.0,0.0,31.0,1102,6
11.0,0.0,3.0,873,3
19.0,2.0,3.0,1348,0
186.0,147.0,397.0,1240,18
169.0,71.0,208.0,1268,13
37.0,2.0,2.0,917,0
192.0,1.0,19.0,832,0
47.0,0.0,1.0,892,4
309.0,18.0,106.0,1246,0
232.0,19.0,122.0,1309,0
27.0,5.0,15.0,1393,8
141.0,31.0,69.0,1406,24
4.0,1.0,1.0,1325,8
43.0,2.0,40.0,1285,10
237.0,198.0,269.0,1410,16
8.0,0.0,3.0,1159,3
141.0,328.0,143.0,1765,5
0.0,0.0,0.0,753,3
257.0,90.0,179.0,1514,18
178.0,28.0,64.0,1416,3
238.0,164.0,191.0,1524,15
12.0,2.0,6.0,1416,3
456.0,143.0,291.0,1423,17
66.0,13.0,29.0,1278,3
22.0,1.0,19.0,1355,3
40.0,4.0,21.0,1335,9
300.0,304.0,266.0,1564,21
142.0,49.0,107.0,1483,3
53.0,41.0,34.0,1363,13
328.0,5.0,79.0,1227,10
2.0,0.0,0.0,1265,12
48.0,23.0,31.0,1326,8
92.0,31.0,65.0,1444,6
93.0,11.0,48.0,1383,9
18.0,15.0,18.0,1589,3
0.0,0.0,0.0,949,10
292.0,124.0,199.0,1625,23
161.0,145.0,141.0,1233,11
18.0,2.0,6.0,1423,3
22.0,17.0,14.0,1533,22
67.0,0.0,8.0,1227,8
100.0,7.0,36.0,1287,20
69.0,10.0,72.0,1132,15
24.0,14.0,22.0,884,25
54.0,8.0,10.0,1358,34
349.0,231.0,260.0,1724,12
121.0,210.0,116.0,1578,32
12.0,0.0,2.0,1286,3
8.0,0.0,3.0,1046,3
42.0,1.0,9.0,1257,4
112.0,1.0,22.0,1272,9
439.0,63.0,282.0,1341,20
5.0,1.0,3.0,1248,3
239.0,18.0,46.0,1473,3
34.0,5.0,10.0,1412,3
126.0,4.0,70.0,1384,10
0.0,0.0,0.0,960,9
44.0,51.0,43.0,1438,7
37.0,2.0,14.0,1307,3
1.0,47.0,3.0,361,2
323.0,286.0,252.0,1472,8
30.0,14.0,9.0,1337,15
29.0,1.0,19.0,1193,9
117.0,44.0,144.0,1265,39
95.0,15.0,40.0,1342,9
74.0,13.0,50.0,1356,3
538.0,357.0,355.0,1485,23
10.0,0.0,0.0,1342,10
2.0,1.0,1.0,1172,12
39.0,9.0,27.0,1541,3
0.0,0.0,1.0,793,2
8.0,2.0,4.0,1225,2
94.0,19.0,146.0,1285,34
80.0,5.0,11.0,1212,12
72.0,2.0,10.0,1261,7
22.0,46.0,19.0,1044,1
274.0,190.0,311.0,1356,3
16.0,40.0,18.0,1539,3
164.0,50.0,161.0,1392,17
282.0,27.0,134.0,1351,12
67.0,75.0,65.0,1395,17
436.0,130.0,408.0,1221,13
413.0,995.0,532.0,1604,44
140.0,5.0,199.0,1324,22
135.0,4.0,35.0,1306,19
37.0,0.0,4.0,1243,3
4.0,0.0,1.0,660,11
138.0,131.0,76.0,2156,6
1014.0,1430.0,813.0,2135,24
15.0,16.0,8.0,1450,9
0.0,27.0,0.0,1286,7
9.0,17.0,7.0,1775,29
21.0,73.0,9.0,2120,6
0.0,0.0,0.0,882,6
1140.0,2787.0,950.0,2152,38
0.0,0.0,0.0,1357,14
284.0,214.0,207.0,2108,5
0.0,0.0,0.0,1725,15
9.0,0.0,2.0,1781,6
1.0,0.0,0.0,1221,12
36.0,0.0,8.0,1637,11
10.0,9.0,8.0,1860,18
0.0,11.0,6.0,843,13
293.0,536.0,182.0,1931,6
4.0,0.0,1.0,1582,7
15.0,8.0,9.0,1905,16
2.0,0.0,1.0,1698,14
44.0,8.0,41.0,1517,13
200.0,65.0,97.0,2002,13
